posixTime,teamID,lat,lon,spdkn,hdgdeg
1405920600,597,44.4749900000001,-86.5145300000001,6.45697651827216,342
1405919700,597,44.4489800000001,-86.5049100000001,6.20911285594129,337
1405918800,597,44.4245100000001,-86.4931600000001,6.02123496562129,336
1405917900,597,44.4008500000001,-86.4814900000001,5.86833316913314,334
1405917000,597,44.3779600000001,-86.4694700000001,5.59028709472435,333
1405916100,597,44.3563300000001,-86.4573900000001,5.22925971618578,334
1405915200,597,44.3359400000001,-86.4466600000001,5.08997357978629,348
1405914300,597,44.3150200000001,-86.4418100000001,5.52834770405758,24
1405913400,597,44.2931800000001,-86.4520300000001,5.28762070478144,27
1405912507,597,44.2727900000001,-86.4630300000001,5.41632698368964,35
1405911600,597,44.2526400000001,-86.4777500000001,5.6251424532917,36
1405910700,597,44.2320100000001,-86.4932700000001,6.06355295357627,36
1405909800,597,44.2097400000001,-86.50991,6.53481156639368,36
1405908900,597,44.1857100000001,-86.52776,7.06625435626238,35
1405908000,597,44.1595700000001,-86.54664,6.83369864891195,33
1405907100,597,44.1339000000001,-86.5638,6.17322071189394,31
1405906200,597,44.1103000000001,-86.57804,6.31971633092003,31
1405905300,597,44.0861300000001,-86.59258,5.86864797097397,33
1405904400,597,44.0639300000001,-86.60684,5.81750042152775,31
1405903500,597,44.0417200000001,-86.62034,6.28759827205464,36
1405902600,597,44.0184200000001,-86.63699,6.53567619398687,35
1405901706,597,43.9942400000001,-86.65384,6.80427624501005,33
1405900800,597,43.9683700000001,-86.67058,7.04919550059486,30
1405899900,597,43.9412100000001,-86.6861,7.26074582091591,32
1405899000,597,43.9136100000001,-86.70329,7.25066636198179,33
1405898100,597,43.8861900000001,-86.72088,7.49434802203262,35
1405897200,597,43.8582600000001,-86.74024,7.48796154966451,32
1405896300,597,43.8298900000001,-86.75823,7.30145986946925,30
1405895400,597,43.8019500000001,-86.7749,7.21290592674649,30
1405894500,597,43.7743800000001,-86.79146,6.62318346734877,30
1405893600,597,43.7490800000001,-86.80671,7.42519864831844,29
1405892700,597,43.7205500000001,-86.82326,6.87528240432984,26
1405891800,597,43.6936200000001,-86.83676,7.14146254428315,28
1405890907,597,43.6661900000001,-86.85185,6.72042913533857,29
1405890000,597,43.6402700000001,-86.86726,6.2631544730953,29
1405889100,597,43.6162800000001,-86.88144,6.31269400158971,27
1405888200,597,43.5918500000001,-86.89489,6.12982626829763,26
1405887300,597,43.5680100000001,-86.90753,6.55231516239783,26
1405886400,597,43.5426500000001,-86.92147,6.1524690429406,26
1405885500,597,43.5188800000001,-86.9347,5.79821337557071,26
1405884600,597,43.4965100000001,-86.94727,5.28952553351565,27
1405883700,597,43.4762100000001,-86.95909,5.00373208346417,29
1405882800,597,43.4572700000001,-86.97109,5.07529977653559,30
1405881900,597,43.4382100000001,-86.9837,5.11024403917473,30
1405881000,597,43.4191600000001,-86.99679,4.65596302410566,27
1405880106,597,43.4015100000001,-87.00743,4.65525327834713,20
1405879200,597,43.3829600000001,-87.01581,4.58043842488491,20
1405878300,597,43.3647800000001,-87.02379,4.13570938621564,17
1405877400,597,43.3481800000001,-87.03014,3.6109400122679,16
1405876500,597,43.3336500000001,-87.0355,3.29364276240504,22
1405875600,597,43.3207900000001,-87.04208,3.23446818007084,35
1405874700,597,43.3094900000001,-87.05217,2.61002210221584,8
1405873800,597,43.2987200000001,-87.05423,2.64309983871991,19
1405872900,597,43.2882700000001,-87.059,3.27853175044119,39
1405872000,597,43.2775000000001,-87.07054,3.71014763865932,49
1405871100,597,43.2671600000001,-87.08632,3.71285846552939,45
1405870200,597,43.2561500000001,-87.10124,3.94674879080989,43
1405869300,597,43.2441000000001,-87.1166,4.118344453138,43
1405868407,597,43.2315500000001,-87.13239,4.14953219333278,42
1405867500,597,43.2186300000001,-87.14843,4.19097004211692,33
1405866600,597,43.2040400000001,-87.16159,4.53234107514233,26
1405865700,597,43.1871900000001,-87.17328,4.49750368973132,28
1405864800,597,43.1708600000001,-87.18588,4.56665133030585,26
1405863900,597,43.1539600000001,-87.19786,4.23546831223065,23
1405863000,597,43.1379300000001,-87.20797,4.4434853667067,19
1405862100,597,43.1206000000001,-87.21689,4.54288648222107,19
1405861200,597,43.1029500000001,-87.22625,4.54505629019367,20
1405860300,597,43.0854700000001,-87.23622,4.5588102761242,19
1405859400,597,43.0678600000001,-87.24596,4.5921548284899,16
1405858500,597,43.0498100000001,-87.25464,4.19976987051466,13
1405857607,597,43.0331800000001,-87.26146,3.47751320342472,14
1405856700,597,43.0192700000001,-87.26753,3.90877952365203,11
1405855800,597,43.0035200000001,-87.27319,4.32796129455488,15
1405854900,597,42.9864900000001,-87.28129,4.74538821072575,15
1405854000,597,42.9679600000001,-87.29071,4.26310173983636,15
1405853100,597,42.9513600000001,-87.29934,4.02512277463587,15
1405852200,597,42.9357500000001,-87.30771,4.34655132904693,14
1405851300,597,42.9187500000001,-87.31623,3.97113903918745,11
1405850400,597,42.9029500000001,-87.32293,3.87941307779838,14
1405849500,597,42.8879900000001,-87.33128,3.61472010390515,15
1405848600,597,42.8741400000001,-87.33935,3.19909540601959,14
1405847707,597,42.8619700000001,-87.34641,3.58971653655585,13
1405846800,597,42.8479600000001,-87.35399,3.90880563917822,13
1405845900,597,42.8328700000001,-87.36234,4.15712727450409,14
1405845000,597,42.8171700000001,-87.37231,4.24461785482703,12
1405844100,597,42.8008400000001,-87.38156,4.25127658085401,9
1405843200,597,42.7840100000001,-87.38908,3.63756361321467,8
1405842300,597,42.7694400000001,-87.39476,2.61007449004604,8
1405841400,597,42.7590500000001,-87.39913,2.77946617801501,9
1405840500,597,42.7480800000001,-87.40418,1.8779398178906,15
1405839600,597,42.7413400000001,-87.40959,2.06795879615205,14
1405838700,597,42.7339500000001,-87.41562,2.17853855693306,19
1405837800,597,42.7268400000001,-87.4233,2.4143630498548,14
1405836906,597,42.7183000000001,-87.43036,2.44116597121231,16
1405836000,597,42.7100600000001,-87.43863,2.4975398135207,15
1405835100,597,42.7014100000001,-87.4465,2.08583508684105,17
1405834200,597,42.6946500000001,-87.45393,0.972321519802479,27
1405833300,597,42.6922500000001,-87.45837,1.04086964184529,37
1405832400,597,42.6903300000001,-87.46366,1.57603566389919,14
1405831500,597,42.6848400000001,-87.46856,2.26634069994881,11
1405830600,597,42.67648,-87.47453,2.36628789479039,9
1405829700,597,42.66745,-87.47991,2.42150795772127,9
1405828800,597,42.65841,-87.486,2.55172440738948,8
1405827900,597,42.64865,-87.49173,3.22916638099183,6
1405827000,597,42.63585,-87.49736,3.2574737649277,2
1405826100,597,42.6224,-87.49982,3.55103232916573,2
1405825200,597,42.60773,-87.50242,3.62000126951147,2
1405824300,597,42.59286,-87.50584,4.14391804843925,3
1405823400,597,42.57598,-87.51076,4.41248166840178,2
1405822500,597,42.55792,-87.51542,3.70957526344489,2
1405821607,597,42.5428,-87.51889,3.72785550961593,1
1405820700,597,42.52728,-87.52164,3.81461937625624,1
1405819800,597,42.5115,-87.5242,4.13495274686564,1
1405818900,597,42.49438,-87.5268,4.09179341093195,0
1405818000,597,42.4774,-87.52885,2.88256084965916,2
1405817100,597,42.46611,-87.5344,4.14556827303444,1
1405816200,597,42.4497,-87.5417,2.73923331114348,1
1405815300,597,42.43874,-87.54601,2.71227098608164,0
1405814400,597,42.42779,-87.54979,1.93519651884058,0
1405813500,597,42.41991,-87.5521,2.00934193000779,0
1405812600,597,42.41163,-87.55377,2.44837194784322,0
1405811700,597,42.40159,-87.55621,1.68988968609418,0
1405810800,597,42.3947900000001,-87.55868,1.17065337337683,360
1405809900,597,42.38999,-87.55751,2.35822687943391,360
1405809000,597,42.38018,-87.55678,3.91205204200339,0
1405808106,597,42.36401,-87.55786,4.14990507414884,0
1405807200,597,42.34663,-87.55911,5.06216917986611,0
1405806300,597,42.32556,-87.56035,5.58793760747176,1
1405805400,597,42.30233,-87.56242,6.10534265487614,1
1405804500,597,42.27695,-87.5647,6.36987380849314,1
1405803600,597,42.25045,-87.56662,6.60035061439722,1
1405802700,597,42.22309,-87.57034,6.85845586301592,1
1405801800,597,42.19456,-87.57247,6.79780220583639,1
1405800900,597,42.16625,-87.57353,7.14410705585136,360
1405800000,597,42.13649,-87.5729,6.82213190904968,358
1405799107,597,42.10836,-87.5702,6.61661273153445,5
1405798200,597,42.08102,-87.57684,6.4897707533209,6
1405797300,597,42.0546,-87.58458,6.1758080449972,3
1405796400,597,42.02902,-87.58831,5.94969224020074,4
1405795500,597,42.00446,-87.59282,5.54916372682124,1
1405794600,597,41.98135,-87.59368,5.25753324553986,355
1405793700,597,41.95965,-87.58967,4.30634204151271,356
1405792800,597,41.94184,-87.58676,4.11752987050367,349
1405791900,597,41.92539,-87.58022,4.30790259151023,355
1405791000,597,41.90758,-87.57724,3.62059305969322,359
1405790100,597,41.8925,-87.57677,2.99329244519456,356
